task,cd_mambatt_5shot_mean_rmse,cd_mambatt_15shot_mean_rmse,fomln_15shot_mean_rmse,cd_mambatt_5shot_mean_direct_rmse,cd_mambatt_15shot_mean_direct_rmse,cd_5shot_gain_over_direct,cd_15shot_gain_over_direct,cd_15shot_minus_fomln_15shot
FD001 → FD003,22.034222606550905,20.138409095041144,25.474808045486636,34.717874190874156,34.81515313582852,12.68365158432325,14.676744040787373,-5.336398950445492
FD003 → FD001,19.813738015476144,19.578754282591685,20.12610784962631,24.60594956810297,24.5970021495109,4.792211552626828,5.018247866919214,-0.5473535670346266
FD002 → FD004,22.17761224506113,23.287881973804126,26.020618872556856,29.502780919552873,30.938981431427095,7.325168674491742,7.651099457622969,-2.73273689875273
FD001 → FD004,24.344873332179727,23.946865322524904,25.080815444004816,32.382021790747885,34.314156035790724,8.037148458568158,10.36729071326582,-1.1339501214799128
