task,cd_mambatt_15shot_mean_rmse,fomln_15shot_mean_rmse,delta_cd_minus_fomln,cd_mambatt_15shot_mean_direct_rmse,fomln_15shot_mean_direct_rmse
FD001 → FD003,20.138409095041144,25.474808045486636,-5.336398950445492,34.81515313582852,34.07503256663473
FD003 → FD001,19.578754282591685,20.12610784962631,-0.5473535670346266,24.5970021495109,25.077195249386744
FD002 → FD004,23.287881973804126,26.020618872556856,-2.73273689875273,30.938981431427095,31.187125805085167
FD001 → FD004,23.946865322524904,25.080815444004816,-1.1339501214799128,34.314156035790724,30.9944429679207
